Codigo_Curso,Codigo_MEC,Centro_de_Ensino,Nome_Do_Curso,Matriculados,Ano_Referencia
19,3413,CCA,Agronomia,480,2025
19,3413,CCA,Agronomia,482,2024
19,3413,CCA,Agronomia,453,2023
19,3413,CCA,Agronomia,436,2022
19,3413,CCA,Agronomia,438,2021
19,3413,CCA,Agronomia,453,2020
46,58188,CCA,Agronomia (CAU),175,2025
46,58188,CCA,Agronomia (CAU),185,2024
46,58188,CCA,Agronomia (CAU),177,2023
46,58188,CCA,Agronomia (CAU),179,2022
46,58188,CCA,Agronomia (CAU),182,2021
46,58188,CCA,Agronomia (CAU),198,2020
45,58200,CCA,Engenharia Agrícola (CAR),38,2025
45,58200,CCA,Engenharia Agrícola (CAR),42,2024
45,58200,CCA,Engenharia Agrícola (CAR),44,2023
45,58200,CCA,Engenharia Agrícola (CAR),38,2022
45,58200,CCA,Engenharia Agrícola (CAR),60,2021
45,58200,CCA,Engenharia Agrícola (CAR),71,2020
47,58202,CCA,Medicina Veterinária (CAU),191,2025
47,58202,CCA,Medicina Veterinária (CAU),190,2024
47,58202,CCA,Medicina Veterinária (CAU),188,2023
47,58202,CCA,Medicina Veterinária (CAU),195,2022
47,58202,CCA,Medicina Veterinária (CAU),202,2021
47,58202,CCA,Medicina Veterinária (CAU),196,2020
17,3412,CCA,Zootecnia,283,2025
17,3412,CCA,Zootecnia,299,2024
17,3412,CCA,Zootecnia,302,2023
17,3412,CCA,Zootecnia,323,2022
17,3412,CCA,Zootecnia,327,2021
17,3412,CCA,Zootecnia,349,2020
68,1148343,CCB,Bioquímica,120,2025
68,1148343,CCB,Bioquímica,126,2024
68,1148343,CCB,Bioquímica,127,2023
68,1148343,CCB,Bioquímica,133,2022
68,1148343,CCB,Bioquímica,134,2021
68,1148343,CCB,Bioquímica,125,2020
93,5000545,CCB,Biotecnologia,111,2025
93,5000545,CCB,Biotecnologia,112,2024
93,5000545,CCB,Biotecnologia,105,2023
93,5000545,CCB,Biotecnologia,110,2022
93,5000545,CCB,Biotecnologia,110,2021
93,5000545,CCB,Biotecnologia,125,2020
14,303408,CCB,Ciências Biologicas,332,2025
14,303408,CCB,Ciências Biologicas,341,2024
14,303408,CCB,Ciências Biologicas,352,2023
14,303408,CCB,Ciências Biologicas,356,2022
14,303408,CCB,Ciências Biologicas,378,2021
14,303408,CCB,Ciências Biologicas,389,2020
69,5000545,CCB,Tecnologia em Biotecnologia,0,2025
69,5000545,CCB,Tecnologia em Biotecnologia,0,2024
69,5000545,CCB,Tecnologia em Biotecnologia,0,2023
69,5000545,CCB,Tecnologia em Biotecnologia,0,2022
69,5000545,CCB,Tecnologia em Biotecnologia,110,2021
69,5000545,CCB,Tecnologia em Biotecnologia,125,2020
39,21623,CCE,Estatística,120,2025
39,21623,CCE,Estatística,123,2024
39,21623,CCE,Estatística,138,2023
39,21623,CCE,Estatística,130,2022
39,21623,CCE,Estatística,130,2021
39,21623,CCE,Estatística,126,2020
15,303405,CCE,Física,205,2025
15,303405,CCE,Física,193,2024
15,303405,CCE,Física,197,2023
15,303405,CCE,Física,207,2022
15,303405,CCE,Física,235,2021
15,303405,CCE,Física,251,2020
67,5000544,CCE,Física (CRG),12,2025
67,5000544,CCE,Física (CRG),61,2024
67,5000544,CCE,Física (CRG),52,2023
67,5000544,CCE,Física (CRG),45,2022
67,5000544,CCE,Física (CRG),45,2021
67,5000544,CCE,Física (CRG),26,2020
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),0,2025
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),0,2024
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),0,2023
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),1,2022
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),2,2021
28,3422,CCE,Licenciatura Plena em Ciências,0,2025
28,3422,CCE,Licenciatura Plena em Ciências,0,2024
28,3422,CCE,Licenciatura Plena em Ciências,0,2023
28,3422,CCE,Licenciatura Plena em Ciências,5,2022
28,3422,CCE,Licenciatura Plena em Ciências,6,2021
28,3422,CCE,Licenciatura Plena em Ciências,13,2020
7,303407,CCE,Matemática,229,2025
7,303407,CCE,Matemática,255,2024
7,303407,CCE,Matemática,265,2023
7,303407,CCE,Matemática,232,2022
7,303407,CCE,Matemática,287,2021
7,303407,CCE,Matemática,324,2020
6,3406,CCE,Química,237,2025
6,3406,CCE,Química,240,2024
6,3406,CCE,Química,236,2023
6,3406,CCE,Química,238,2022
6,3406,CCE,Química,277,2021
6,3406,CCE,Química,314,2020
